,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,13,43,7,11,18,18,8,10,13,3,4,9
Inventory Days,58,33,23,34,31,17,107,208,195,182,95,196
Days Payable,156,163,158,169,127,119,77,63,18,50,162,16
Cash Conversion Cycle,-86,-86,-128,-124,-79,-85,37,155,189,135,-63,188
Working Capital Days,-76,-66,-120,-123,-79,-95,72,145,89,16,-10,5
ROCE %,11%,26%,18%,13%,12%,7%,,6%,34%,81%,79%,38%
