,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,192,-237,31,224,-410,256,"1,021",152,638,278,140
Cash from Investing Activity +,-9,-4,75,-3,416,289,-854,-158,-765,214,-282
Cash from Financing Activity +,-181,224,-94,-207,-45,-504,-36,8,-5,-106,-75
Net Cash Flow,2,-17,12,14,-40,42,130,3,-132,386,-217
