,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,21.00%,19.82%,19.82%,19.79%,17.17%,15.85%,14.50%,13.28%,13.25%
FIIs +,11.68%,10.06%,6.25%,3.63%,4.22%,5.52%,7.64%,19.57%,23.04%
DIIs +,7.78%,10.16%,7.19%,5.06%,16.54%,13.57%,5.55%,6.30%,8.73%
Public +,59.54%,59.95%,66.74%,71.52%,62.07%,65.06%,72.30%,60.85%,54.98%
No. of Shareholders,"9,73,197","10,22,656","10,17,090","10,01,884","11,17,927","20,70,709","24,42,672","43,55,169","56,74,619"
