,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,"3,314","3,320","3,598","3,601","3,605","4,359","8,736","28,735","28,735","32,119","48,680","50,120","69,700"
Reserves,"10,989","13,205","19,429","19,950","21,127","22,903","50,899","-22,756","-66,963","-94,084","-123,039","-154,287","-165,096"
Borrowings +,"14,046","20,637","26,859","40,541","55,055","57,985","125,940","114,996","201,720","213,761","237,766","243,809","250,167"
Other Liabilities +,"8,029","9,396","10,580","16,034","16,881","13,264","44,078","105,942","39,986","42,233","43,836","45,355","42,226"
Total Liabilities,"36,378","46,557","60,467","80,126","96,668","98,511","229,652","226,918","203,478","194,029","207,243","184,997","196,997"
Fixed Assets +,"29,160","29,602","35,540","65,190","76,763","79,692","177,800","185,836","167,490","156,819","156,255","140,125","155,055"
CWIP,881,"11,419","5,141","6,040","7,535","3,585","5,103","1,138",606,364,"17,876","18,189",808
Investments,"1,028",216,"11,527","3,471","6,378","7,290","8,239","1,979",4,5,6,0,417
Other Assets +,"5,309","5,321","8,260","5,425","5,991","7,944","38,511","37,964","35,378","36,841","33,105","26,683","40,717"
Total Assets,"36,378","46,557","60,467","80,126","96,668","98,511","229,652","226,918","203,478","194,029","207,243","184,997","196,997"
