,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2025
Equity Capital,38,53,67,67,67,67,67,67,65,65,65,72
Reserves,"1,123","1,889","2,139","2,155","2,353","2,299","2,187","2,367",857,"-4,772","-4,784","11,298"
Borrowings +,"1,897","2,456","4,514","6,220","7,379","3,857","4,189","5,863","5,923","8,079","8,865",788
Other Liabilities +,"3,423","3,610","4,426","6,177","7,023","7,872","8,418","8,951","6,678","4,421","3,818","3,359"
Total Liabilities,"6,481","8,007","11,146","14,619","16,822","14,095","14,861","17,248","13,523","7,794","7,964","15,517"
Fixed Assets +,"1,335","1,965","2,233","2,497","2,661","2,704","2,455","5,670","5,537","5,389","5,241","5,554"
CWIP,79,130,183,241,213,144,112,42,29,28,27,93
Investments,72,142,118,142,162,168,153,91,50,44,31,158
Other Assets +,"4,995","5,771","8,611","11,740","13,786","11,079","12,141","11,445","7,907","2,333","2,665","9,711"
Total Assets,"6,481","8,007","11,146","14,619","16,822","14,095","14,861","17,248","13,523","7,794","7,964","15,517"
