,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,69.64%,69.41%,69.05%,69.02%,68.96%,68.94%,68.75%,68.63%,68.62%,68.61%,68.60%,68.60%
FIIs +,8.29%,8.82%,9.13%,8.45%,9.48%,9.08%,9.35%,8.59%,8.72%,9.18%,9.52%,9.88%
DIIs +,16.24%,16.99%,16.72%,17.47%,17.17%,17.28%,16.27%,16.68%,16.54%,16.76%,16.47%,17.22%
Public +,5.83%,4.78%,5.11%,5.06%,4.37%,4.69%,5.62%,6.09%,6.11%,5.46%,5.41%,4.30%
No. of Shareholders,"11,78,353","10,63,054","10,57,260","10,41,168","9,67,531","9,61,296","10,28,673","10,36,632","10,19,117","9,48,916","9,37,270","8,47,672"
