,Mar 2023,Mar 2024,Mar 2025
Equity Capital,"4,720","5,720","8,426"
Reserves,168,513,"10,014"
Borrowings +,"6,137","13,857","19,441"
Other Liabilities +,"7,407","7,118","7,540"
Total Liabilities,"18,431","27,207","45,421"
Fixed Assets +,"14,758","17,573","21,816"
CWIP,"1,749","7,138","13,983"
Investments,0,0,"3,199"
Other Assets +,"1,924","2,495","6,423"
Total Assets,"18,431","27,207","45,421"
