,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%,96.50%
FIIs +,0.12%,0.18%,0.17%,0.08%,0.08%,0.10%,0.06%,0.14%,0.19%,0.16%,0.07%,0.10%
DIIs +,1.06%,0.91%,0.91%,0.90%,0.83%,0.84%,1.00%,0.85%,0.94%,1.16%,1.26%,1.27%
Public +,2.32%,2.42%,2.42%,2.52%,2.58%,2.55%,2.43%,2.49%,2.37%,2.17%,2.15%,2.13%
No. of Shareholders,"37,89,053","36,03,679","34,42,340","33,78,799","32,81,544","31,34,541","29,36,740","27,16,181","25,63,693","23,98,130","23,75,396","23,71,841"
