,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,547,562,562,624,624,624,648,648,648,648,651,651
Reserves,409,638,959,"3,218","4,045","4,963","10,432","11,536","13,030","15,430","18,047","20,777"
Borrowings +,641,904,"1,192","1,497",439,700,333,393,647,643,592,820
Other Liabilities +,211,251,389,480,540,718,663,"1,079","1,146","1,383","1,882","2,073"
Total Liabilities,"1,808","2,355","3,102","5,819","5,648","7,006","12,076","13,655","15,471","18,105","21,172","24,320"
Fixed Assets +,"1,172","1,528","2,094","2,578","3,400","4,400","5,948","7,009","9,260","11,340","13,415","16,206"
CWIP,89,98,82,153,147,377,364,"1,020","1,129",829,935,"1,099"
Investments,16,15,29,26,68,17,15,3,6,202,107,3
Other Assets +,532,713,897,"3,063","2,033","2,212","5,749","5,624","5,076","5,733","6,716","7,011"
Total Assets,"1,808","2,355","3,102","5,819","5,648","7,006","12,076","13,655","15,471","18,105","21,172","24,320"
