,Dec 2022,Dec 2023,Dec 2024
Equity Capital,31,31,31
Reserves,"4,255","4,774","5,303"
Borrowings +,57,51,56
Other Liabilities +,"1,383","1,410","1,493"
Total Liabilities,"5,727","6,267","6,883"
Fixed Assets +,"1,123","1,441","1,970"
CWIP,249,491,449
Investments,0,0,0
Other Assets +,"4,355","4,335","4,464"
Total Assets,"5,727","6,267","6,883"
