,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"14,244","6,344","9,346","2,575","-11,120","18,237","-5,289","59,118",919,"-39,978","15,046","60,669"
Cash from Investing Activity +,-380,"-1,104",-443,-476,-487,-745,-445,"-1,116","-1,429","-1,156","-1,750","-2,461"
Cash from Financing Activity +,"-3,771","-1,464",-806,124,"2,865","-1,185","7,792",290,"4,035",445,"-3,834","-3,506"
Net Cash Flow,"10,092","3,776","8,096","2,224","-8,743","16,307","2,059","58,291","3,525","-40,689","9,462","54,701"
