,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,82.20%,82.20%,75.00%,74.99%,74.96%,74.93%,74.92%,72.16%,72.13%,72.11%,71.98%,71.94%
FIIs +,14.54%,13.93%,19.42%,18.98%,19.83%,20.52%,21.09%,23.79%,24.18%,24.20%,24.45%,24.64%
DIIs +,1.86%,2.54%,3.48%,3.68%,3.81%,3.50%,3.21%,3.32%,2.96%,2.78%,2.63%,2.36%
Public +,1.40%,1.34%,2.10%,2.33%,1.40%,1.05%,0.78%,0.73%,0.72%,0.91%,0.92%,1.04%
No. of Shareholders,"53,304","53,343","51,058","53,431","55,202","52,590","52,805","60,812","67,699","92,933","94,623","1,04,512"
