,Mar 2015,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,,"1,070","1,137",920,"1,813","2,152","2,413"
Cash from Investing Activity +,,-436,"-1,222","-1,369","-1,052","-2,081","-12,683"
Cash from Financing Activity +,,-531,-8,605,-740,5,"10,233"
Net Cash Flow,,103,-92,156,22,77,-37
