,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,30.13%,27.60%,18.70%,16.00%,13.58%,9.70%,8.16%,8.22%,8.18%
FIIs +,50.54%,49.90%,49.62%,45.49%,51.43%,46.93%,49.05%,53.84%,43.94%
DIIs +,8.84%,13.41%,21.24%,24.94%,23.27%,30.50%,32.01%,30.12%,40.87%
Public +,10.49%,9.09%,10.44%,13.56%,11.72%,12.87%,10.79%,7.81%,6.99%
No. of Shareholders,"4,48,287","3,53,088","3,36,023","5,58,989","6,20,618","8,13,530","8,46,261","7,86,166","9,35,453"
