,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%,90.00%
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,0.14%
DIIs +,8.56%,8.56%,8.57%,8.56%,8.56%,8.57%,8.57%,8.61%,8.59%
Government +,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%,0.40%
Public +,1.04%,1.04%,1.03%,1.04%,1.04%,1.03%,1.03%,0.89%,0.87%
No. of Shareholders,"16,124","19,717","20,496","21,596","31,067","33,310","45,300","58,568","85,224"
