,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,2.65%,2.77%,2.80%,2.77%,2.85%,2.89%,2.25%,2.31%,3.03%,2.42%,2.27%,2.63%
DIIs +,7.97%,7.77%,7.80%,8.01%,7.76%,7.44%,7.22%,7.45%,6.84%,6.88%,6.81%,6.49%
Public +,14.38%,14.45%,14.39%,14.23%,14.38%,14.67%,15.52%,15.23%,15.13%,15.70%,15.92%,15.90%
No. of Shareholders,"51,974","50,995","50,481","44,457","44,137","49,724","54,661","52,221","60,138","63,324","66,819","67,569"
