,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%,86.36%
FIIs +,1.02%,1.05%,1.01%,1.15%,1.14%,1.14%,1.15%,1.08%,1.11%,1.09%,1.01%,0.98%
DIIs +,3.25%,3.39%,2.97%,2.62%,2.02%,1.63%,1.15%,0.89%,1.08%,1.08%,1.24%,1.34%
Public +,9.36%,9.19%,9.66%,9.87%,10.49%,10.88%,11.34%,11.68%,11.45%,11.48%,11.40%,11.32%
No. of Shareholders,"14,90,302","14,59,497","16,05,726","16,34,919","18,05,740","27,03,000","32,51,993","45,26,341","51,08,893","55,00,054","55,40,767","56,35,775"
