,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"2,616","1,754","3,597","3,114","3,933","5,023","6,493","5,235","9,310","11,410","10,933","11,332"
Cash from Investing Activity +,"-10,064","-1,992","-2,677","-5,865","1,778",-578,"-2,207","-8,517","-4,192","-9,130","-12,601","-13,514"
Cash from Financing Activity +,"6,972","-2,603",-871,"2,758","-5,698",-940,"-7,331","3,702","-5,615","-2,521","1,637","2,483"
Net Cash Flow,-477,"-2,841",49,7,12,"3,504","-3,045",420,-498,-241,-30,301
