,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,60.53%,60.54%,60.55%,60.63%,62.85%
FIIs +,4.80%,3.05%,29.65%,21.10%,16.89%
DIIs +,1.67%,1.74%,2.63%,11.00%,11.97%
Public +,33.00%,34.67%,7.17%,7.26%,8.29%
No. of Shareholders,"2,76,620","2,71,583","2,24,401","3,70,812","7,86,781"
