,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,54,47,52,59,52,50,48,14,5,7,23,44
Inventory Days,86,96,98,88,109,127,109,98,94,69,102,98
Days Payable,132,131,135,150,162,147,135,110,100,83,119,123
Cash Conversion Cycle,7,12,15,-3,-2,30,22,2,-1,-7,6,18
Working Capital Days,55,77,106,121,116,123,111,65,41,37,47,44
ROCE %,16%,19%,15%,18%,23%,23%,26%,32%,35%,38%,26%,24%
