,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,22,20,29,23,28,25,21,22,22,20,18,19
Inventory Days,68,60,107,101,80,74,94,70,88,78,74,68
Days Payable,38,39,66,59,56,55,58,60,55,51,55,46
Cash Conversion Cycle,52,42,70,64,52,44,57,33,54,47,37,41
Working Capital Days,23,10,23,37,40,34,41,20,45,40,30,30
ROCE %,34%,34%,22%,33%,32%,28%,26%,42%,35%,26%,29%,23%
