,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,38,46,48,44,44,49,49,79,81,119,92,63
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,38,46,48,44,44,49,49,79,81,119,92,63
Working Capital Days,-301,-331,-271,-229,-208,-156,-245,-57,-62,-56,-52,2
ROCE %,9%,8%,9%,10%,10%,9%,11%,12%,11%,13%,13%,13%
