,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.03%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,5.82%,2.93%,1.54%,1.98%,1.62%,2.59%,2.77%,2.31%,2.63%
DIIs +,10.31%,13.05%,13.83%,13.02%,11.42%,8.31%,8.01%,7.45%,6.49%
Public +,8.87%,9.02%,9.63%,9.97%,11.96%,14.10%,14.23%,15.23%,15.90%
No. of Shareholders,"19,627","21,084","20,131","19,537","23,783","48,537","44,457","52,221","67,569"
