,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,-79,-100,6,133,-354,-140,0
Cash from Investing Activity +,31,-162,15,-130,-603,140,-10
Cash from Financing Activity +,82,236,69,-38,927,5,44
Net Cash Flow,33,-26,90,-34,-30,4,34
