,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,295,311,219,428,325,-321,462,556,584,159,762,-224
Cash from Investing Activity +,-285,-104,-315,-73,-199,393,-210,-256,-365,-82,-522,158
Cash from Financing Activity +,-79,-236,48,-211,-181,-18,-294,-122,-107,55,-116,-100
Net Cash Flow,-68,-29,-47,143,-55,53,-42,179,113,133,123,-166
