,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,70.00%,70.00%,70.00%,65.48%,65.48%,65.48%,65.48%,65.48%,60.95%
FIIs +,24.43%,27.33%,24.85%,29.42%,28.90%,24.28%,21.19%,16.06%,17.08%
DIIs +,4.41%,1.51%,3.90%,3.86%,3.60%,6.82%,10.50%,14.96%,19.23%
Public +,1.16%,1.16%,1.25%,1.24%,2.01%,3.42%,2.83%,3.51%,2.74%
No. of Shareholders,"11,656","13,999","16,145","19,770","29,230","60,583","66,432","1,47,341","1,68,033"
