,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,857","3,333","3,473","3,884","3,382","4,376","4,415","5,223","4,525","5,535","6,065","7,278","6,182"
Expenses +,"2,639","3,068","3,207","3,557","3,125","4,053","4,101","4,853","4,229","5,159","5,738","6,848","5,782"
Operating Profit,218,264,266,327,257,323,314,370,296,376,327,430,399
OPM %,8%,8%,8%,8%,8%,7%,7%,7%,7%,7%,5%,6%,6%
Other Income +,11,8,8,7,-19,12,13,20,39,22,26,40,41
Interest,76,71,74,77,80,82,82,82,78,85,90,88,96
Depreciation,58,59,60,62,63,64,67,70,74,75,85,89,93
Profit before tax,96,142,140,195,95,188,178,239,184,237,178,294,251
Tax %,25%,24%,25%,24%,26%,24%,24%,24%,25%,25%,27%,26%,25%
Net Profit +,72,108,106,148,70,144,135,180,137,178,130,219,188
EPS in Rs,0.70,1.05,1.03,1.44,0.68,1.40,1.31,1.75,1.34,1.72,1.27,2.12,1.82
Raw PDF,,,,,,,,,,,,,
