,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,362,371,393,426,552,921,"1,348","2,096","2,202","2,202","2,202","2,299"
Reserves,"37,731","41,669","41,412","42,990","40,965","45,164","62,529","90,439","95,380","100,678","108,185","130,839"
Deposits,"476,325","537,758","570,383","629,651","648,439","681,874","710,254","1,113,717","1,154,234","1,290,347","1,379,225","1,577,020"
Borrowing,"43,912","36,692","81,674","43,336","65,330","46,828","62,512","52,298","59,372","70,149","72,586","105,807"
Other Liabilities +,"16,490","19,522","18,932","16,909","22,242","15,333","14,814","21,176","28,113","30,273","36,438","41,579"
Total Liabilities,"574,820","636,011","712,793","733,311","777,528","790,120","851,457","1,279,725","1,339,301","1,493,649","1,598,636","1,857,544"
Fixed Assets +,"3,490","3,656","5,308","6,298","6,371","6,246","7,262","11,049","10,696","12,084","12,348","13,083"
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,"149,225","156,762","165,126","191,527","204,419","210,578","253,782","404,369","388,586","416,914","446,421","524,840"
Other Assets +,"422,105","475,594","542,358","535,486","566,738","573,295","590,413","864,307","940,019","1,064,651","1,139,867","1,319,620"
Total Assets,"574,820","636,011","712,793","733,311","777,528","790,120","851,457","1,279,725","1,339,301","1,493,649","1,598,636","1,857,544"
