,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,38.49%,38.49%,38.49%,38.49%,38.49%,38.49%,37.88%,37.87%,37.86%,37.23%,37.22%,37.22%
FIIs +,0.00%,7.57%,7.69%,7.78%,7.78%,8.35%,8.31%,13.36%,17.31%,18.42%,18.61%,19.00%
DIIs +,24.06%,16.70%,16.80%,16.87%,16.94%,16.55%,16.84%,12.39%,8.88%,8.02%,7.86%,7.54%
Public +,36.64%,36.41%,36.20%,36.04%,35.97%,35.80%,36.16%,35.58%,35.14%,35.53%,35.51%,35.44%
No. of Shareholders,"24,827","24,073","23,693","23,652","35,741","41,738","42,597","42,288","43,762","44,168","45,966","46,076"
