,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,199,199,249,224,224,202,202,202,202,202,202
Reserves,"2,554","2,442","2,730","2,610","2,993","2,858","3,230","3,656","4,558","6,042","7,086"
Borrowings +,83,0,0,0,0,0,30,12,6,1,36
Other Liabilities +,"28,397","16,386","16,366","16,540","17,633","17,883","21,679","25,904","24,709","23,219","20,940"
Total Liabilities,"31,233","19,028","19,345","19,374","20,850","20,943","25,140","29,773","29,476","29,463","28,265"
Fixed Assets +,266,368,546,705,810,836,807,965,"1,024",838,"1,501"
CWIP,40,170,98,85,89,80,80,87,62,72,99
Investments,299,324,376,429,431,484,519,542,589,679,740
Other Assets +,"30,629","18,166","18,324","18,154","19,520","19,542","23,735","28,179","27,801","27,875","25,925"
Total Assets,"31,233","19,028","19,345","19,374","20,850","20,943","25,140","29,773","29,476","29,463","28,265"
