,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,40,80,80,80,80,79,76,76,76,76,77,78
Reserves,"1,182","1,326","1,578","1,819","2,047","2,266","2,309","2,719","3,292","3,889","4,881","6,241"
Borrowings +,3,4,3,3,2,2,71,98,578,658,451,311
Other Liabilities +,318,365,459,433,514,509,635,771,"1,473","2,050","1,963","2,107"
Total Liabilities,"1,543","1,775","2,120","2,335","2,644","2,856","3,092","3,666","5,419","6,673","7,372","8,737"
Fixed Assets +,408,408,437,536,512,401,432,457,"1,534","2,341","2,221","2,614"
CWIP,31,4,27,29,5,32,30,12,107,16,34,4
Investments,489,674,638,684,880,764,979,"1,000",822,640,827,980
Other Assets +,615,689,"1,018","1,086","1,247","1,659","1,652","2,197","2,956","3,676","4,290","5,138"
Total Assets,"1,543","1,775","2,120","2,335","2,644","2,856","3,092","3,666","5,419","6,673","7,372","8,737"
