,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,34.42%,34.42%,12.79%,0.00%,53.24%,55.65%,58.12%,58.11%,58.06%
FIIs +,21.17%,18.96%,10.86%,5.76%,8.80%,13.23%,15.39%,15.18%,12.97%
DIIs +,30.51%,30.74%,32.13%,40.24%,7.31%,5.28%,7.17%,10.09%,13.58%
Public +,13.90%,15.88%,44.22%,54.00%,30.65%,25.84%,19.32%,16.61%,15.39%
No. of Shareholders,"1,45,317","1,30,653","1,38,514","1,40,980","1,57,997","1,72,334","1,73,059","2,58,587","4,94,916"
