,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"1,272","1,246","1,337","1,410","1,484","1,582","1,708","1,821","2,156","1,952","2,085","2,190","2,259"
Interest,546,541,578,622,667,739,821,910,948,985,"1,050","1,087","1,104"
Expenses +,274,331,329,327,300,382,375,351,524,402,436,462,368
Financing Profit,452,375,430,460,516,461,512,561,684,565,599,642,787
Financing Margin %,36%,30%,32%,33%,35%,29%,30%,31%,32%,29%,29%,29%,35%
Other Income +,23,7,3,1,58,8,2,7,-90,8,11,17,41
Depreciation,34,29,33,36,41,39,44,48,53,48,53,58,63
Profit before tax,441,353,400,425,533,430,471,520,541,525,557,601,765
Tax %,21%,27%,30%,24%,23%,28%,30%,23%,28%,23%,27%,25%,28%
Net Profit +,398,277,332,382,509,429,435,506,472,435,436,455,553
EPS in Rs,30.60,22.11,27.55,29.96,38.99,33.77,32.89,38.47,24.11,39.14,39.26,41.00,49.77
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
