,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,109,120,121,121,122,122,122,129,129,129,129,129
Reserves,563,"1,295","1,422","1,471","1,923","2,421","2,073","5,267","17,113","13,269","30,133","34,774"
Borrowings +,1,1,1,1,1,1,77,65,64,108,246,267
Other Liabilities +,387,801,382,459,550,646,621,831,"3,177","3,153","5,581","7,601"
Total Liabilities,"1,060","2,217","1,925","2,053","2,596","3,189","2,893","6,292","20,483","16,658","36,089","42,771"
Fixed Assets +,149,576,82,157,88,88,242,134,"1,033",801,810,785
CWIP,10,12,0,1,0,2,0,0,0,4,0,3
Investments,538,"1,175",568,551,"1,565","1,204","1,133","2,324","15,614","12,403","31,203","37,661"
Other Assets +,363,455,"1,276","1,343",943,"1,895","1,518","3,834","3,836","3,450","4,077","4,323"
Total Assets,"1,060","2,217","1,925","2,053","2,596","3,189","2,893","6,292","20,483","16,658","36,089","42,771"
