,Sep 2011,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,Sep 2022,Sep 2023,Sep 2024
Debtor Days,127,126,105,102,113,105,106,115,102,86,71,72
Inventory Days,34,78,69,69,70,74,73,101,104,99,95,93
Days Payable,118,202,173,150,182,196,215,251,214,186,152,166
Cash Conversion Cycle,43,3,1,21,1,-17,-36,-36,-8,-0,14,-1
Working Capital Days,29,24,20,32,34,49,44,42,32,17,32,30
ROCE %,36%,,19%,16%,15%,18%,19%,11%,14%,16%,21%,24%
