,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
FIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.60%,13.04%,16.78%
DIIs +,32.36%,28.34%,24.53%,22.54%,14.73%,13.79%,0.65%,12.69%,12.33%
Public +,29.43%,39.45%,43.03%,47.00%,58.73%,59.73%,65.88%,51.91%,48.78%
Others +,0.00%,32.19%,32.44%,30.46%,26.55%,26.49%,25.86%,22.36%,22.11%
No. of Shareholders,"1,85,699","1,75,091","1,74,239","1,76,696","2,02,670","3,78,655","4,74,080","4,40,058","6,68,174"
