,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,72.75%,72.74%,70.48%,70.70%,71.07%,71.02%,68.97%,68.84%
FIIs +,5.27%,3.65%,2.18%,2.79%,2.36%,7.32%,10.92%,7.83%
DIIs +,7.04%,7.51%,12.57%,12.23%,12.33%,7.85%,7.55%,9.79%
Public +,14.94%,16.10%,14.77%,14.28%,14.24%,13.80%,12.59%,13.53%
No. of Shareholders,"4,95,076","5,26,452","5,08,974","4,98,750","5,38,508","4,75,283","5,03,842","5,76,863"
