,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"2,605","2,770","3,017","3,356","3,741","4,100","4,623","5,007","5,410","5,812","6,255","6,733","7,046"
Interest,"1,071","1,130","1,340","1,543","1,734","2,006","2,204","2,441","2,579","2,796","3,059","3,275","3,365"
Expenses +,630,879,940,912,902,"1,174","1,391","1,412","1,417","1,727","1,897","2,038","2,010"
Financing Profit,904,760,736,901,"1,105",920,"1,028","1,155","1,414","1,289","1,300","1,420","1,671"
Financing Margin %,35%,27%,24%,27%,30%,22%,22%,23%,26%,22%,21%,21%,24%
Other Income +,52,26,50,52,93,71,73,47,105,45,68,105,92
Depreciation,28,28,28,30,36,39,39,46,75,59,63,59,64
Profit before tax,927,759,759,923,"1,163",952,"1,062","1,156","1,444","1,275","1,305","1,466","1,699"
Tax %,26%,26%,26%,26%,26%,25%,27%,25%,26%,26%,26%,26%,26%
Net Profit +,687,562,563,685,855,710,773,872,"1,065",947,968,"1,088","1,260"
EPS in Rs,8.36,6.84,6.85,8.33,10.40,8.64,9.40,10.39,12.68,11.27,11.52,12.94,14.98
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
