,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,96,86,80,94,76,90,83,94,89,82,86
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,96,86,80,94,76,90,83,94,89,82,86
Working Capital Days,67,41,60,77,57,68,49,52,14,43,70
ROCE %,,43%,41%,38%,45%,43%,27%,31%,36%,34%,28%
