,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,13,18,16,20,16,29,19,27,27,29,25,30
Inventory Days,13,16,14,14,16,19,24,30,26,27,25,27
Days Payable,46,50,51,62,56,54,58,88,76,73,80,77
Cash Conversion Cycle,-19,-16,-20,-29,-24,-5,-15,-32,-23,-17,-30,-20
Working Capital Days,-33,-14,-11,-17,-14,8,-7,-17,-9,-4,-13,53
ROCE %,,50%,54%,48%,45%,39%,27%,24%,18%,23%,29%,31%
