,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,86.36%,86.36%,86.36%,86.36%,86.36%
FIIs +,1.44%,1.12%,1.15%,1.08%,0.98%
DIIs +,4.23%,3.18%,2.62%,0.89%,1.34%
Public +,7.97%,9.33%,9.87%,11.68%,11.32%
No. of Shareholders,"13,52,259","15,15,226","16,34,919","45,26,341","56,35,775"
