,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,628,642,858,"1,170",844,"1,395","1,644","2,400","3,251","3,095","5,670","4,546"
Cash from Investing Activity +,180,-103,-40,-961,-452,-749,-643,"-1,657","-1,643",-271,"-3,918","-1,729"
Cash from Financing Activity +,-769,-497,-817,-33,-408,-594,-890,-509,"-1,680","-1,932","-2,269","-2,574"
Net Cash Flow,40,42,2,176,-16,52,110,234,-73,892,-518,242
