,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,100.00%,87.84%,78.21%,78.20%,78.20%,72.84%,72.84%
FIIs +,0.00%,0.55%,0.42%,0.84%,1.53%,2.32%,5.07%
DIIs +,0.00%,2.61%,9.43%,8.33%,6.51%,6.18%,6.21%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
Public +,0.00%,9.00%,11.94%,12.63%,13.76%,18.66%,15.87%
No. of Shareholders,7,"1,77,379","3,66,354","5,63,523","7,20,323","18,44,551","23,71,568"
