,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,85.78%,85.78%,85.78%,85.78%,85.78%,85.78%,85.78%,85.78%,85.78%,82.40%,82.40%,82.40%
FIIs +,0.47%,0.46%,0.53%,0.67%,0.77%,0.86%,0.95%,0.87%,1.05%,1.34%,1.80%,1.93%
DIIs +,10.91%,11.07%,11.01%,11.02%,11.02%,11.02%,11.11%,11.06%,10.91%,13.72%,13.70%,13.68%
Public +,2.84%,2.68%,2.67%,2.53%,2.42%,2.34%,2.15%,2.30%,2.25%,2.56%,2.10%,2.00%
No. of Shareholders,"2,79,723","2,67,550","2,55,094","2,48,100","2,35,668","2,26,870","2,22,606","2,42,314","2,43,127","2,52,302","2,32,057","2,26,162"
