,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,098",973,"1,148","1,231","1,463","1,302","1,422","1,507","1,789","1,668","1,746","1,875","2,267"
Expenses +,"1,029",935,"1,102","1,170","1,385","1,231","1,348","1,426","1,690","1,575","1,650","1,771","2,126"
Operating Profit,69,39,46,61,78,71,73,81,99,93,96,104,141
OPM %,6%,4%,4%,5%,5%,5%,5%,5%,6%,6%,6%,6%,6%
Other Income +,6,11,8,6,6,10,7,9,8,7,7,5,6
Interest,13,13,15,20,20,19,19,21,22,21,21,24,32
Depreciation,25,30,31,38,51,53,52,55,58,60,60,64,70
Profit before tax,37,6,8,9,13,9,10,13,26,20,22,21,45
Tax %,22%,-30%,32%,35%,27%,51%,34%,30%,31%,50%,36%,37%,39%
Net Profit +,29,8,5,5,8,2,5,8,17,9,14,13,26
EPS in Rs,0.10,0.03,0.02,0.01,0.03,0.01,0.01,0.02,0.06,0.02,0.03,0.04,0.09
Raw PDF,,,,,,,,,,,,,
