,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,3.53%,5.39%,7.55%,8.45%,9.46%,10.18%,10.72%,11.89%,12.06%,12.28%,11.85%,10.27%
DIIs +,8.59%,11.89%,9.73%,8.98%,8.07%,7.37%,6.92%,5.95%,5.64%,5.42%,5.70%,7.01%
Public +,12.88%,7.69%,7.71%,7.56%,7.48%,7.47%,7.36%,7.15%,7.29%,7.29%,7.45%,7.70%
No. of Shareholders,"89,739","1,05,205","97,757","1,06,396","1,09,435","1,12,399","1,02,093","1,02,557","1,32,505","1,38,259","1,48,890","1,71,077"
