,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,"-2,490","2,274",281,"61,871","-44,376","-14,510","1,726","-2,003","14,277","-8,786","-5,910","-2,460"
Cash from Investing Activity +,-369,-332,-149,-189,-310,-251,-315,-202,-133,-209,-584,-451
Cash from Financing Activity +,"1,153",510,599,"1,543","5,154","6,796","3,396","5,055",0,0,0,"1,500"
Net Cash Flow,"-1,706","2,452",732,"63,225","-39,533","-7,965","4,807","2,849","14,143","-8,995","-6,494","-1,410"
