,Dec 2024,Mar 2025
Promoters +,89.01%,89.01%
FIIs +,2.18%,1.98%
DIIs +,5.28%,4.87%
Public +,3.52%,4.14%
No. of Shareholders,"12,76,901","14,07,563"
