,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,35,36,48,41,46,46,43,33,33,34,40,46
Inventory Days,111,102,123,125,135,125,146,127,128,84,73,79
Days Payable,127,103,140,152,201,204,212,149,130,99,97,120
Cash Conversion Cycle,20,34,32,13,-20,-33,-24,11,31,19,16,6
Working Capital Days,-28,-18,2,-13,-25,-11,-22,11,30,22,23,97
ROCE %,18%,20%,23%,22%,21%,20%,19%,20%,19%,17%,19%,19%
