,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,901,"3,374","2,068","2,996","2,141","2,863","3,559","3,479","2,519","4,871","4,398"
Cash from Investing Activity +,-717,-854,"-3,175","-1,278",-72,941,-927,"-1,063","-1,142","-1,056","-3,189"
Cash from Financing Activity +,"-1,058",-699,-748,"-1,335","-2,548","-3,055","-2,759","-2,211","-2,368","-2,154","-2,152"
Net Cash Flow,-874,"1,821","-1,856",383,-478,749,-127,205,-991,"1,661",-942
