,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,195,195,195,195,244,305,305,305,305,305,305,305
Reserves,"6,663","7,322","8,112","8,576","9,078","10,023","9,741","9,883","10,449","10,922","11,519","12,076"
Borrowings +,207,190,10,62,62,771,70,723,735,778,939,861
Other Liabilities +,"1,205","1,289","1,262","1,293","1,534","1,700","1,673","1,500","1,513","1,461","1,276","1,234"
Total Liabilities,"8,269","8,995","9,579","10,126","10,918","12,798","11,789","12,410","13,002","13,465","14,038","14,476"
Fixed Assets +,"3,369","3,675","3,008","3,658","4,019","4,564","5,348","5,663","5,723","5,621","6,015","6,587"
CWIP,240,395,623,617,692,626,943,923,755,837,893,846
Investments,484,488,"1,101","1,080","1,126","1,169","1,199","1,261","1,207","1,214","1,107","1,119"
Other Assets +,"4,176","4,437","4,848","4,771","5,080","6,438","4,299","4,564","5,317","5,794","6,024","5,924"
Total Assets,"8,269","8,995","9,579","10,126","10,918","12,798","11,789","12,410","13,002","13,465","14,038","14,476"
