,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,113,652,571,-363,-695,-962,419,"4,793","-4,064","2,954","1,878"
Cash from Investing Activity +,-29,100,-25,36,320,124,312,"-1,431","1,355","-1,400","1,629"
Cash from Financing Activity +,-152,-182,-668,-581,319,827,416,-189,"-1,048","-1,287","-1,484"
Net Cash Flow,-68,570,-123,-908,-56,-11,"1,148","3,173","-3,757",267,"2,023"
