,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,57.28%,57.28%,28.08%,99.03%,98.90%,98.90%,80.82%,73.77%,69.45%
FIIs +,0.45%,0.00%,0.00%,0.00%,0.00%,0.00%,2.79%,10.58%,13.42%
DIIs +,0.14%,0.21%,0.08%,0.00%,0.00%,0.01%,2.26%,2.57%,8.71%
Government +,0.00%,0.17%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Public +,42.13%,42.34%,71.60%,0.96%,1.10%,1.09%,14.13%,13.07%,8.42%
No. of Shareholders,"33,688","49,526","86,813","82,022","84,039","93,942","3,25,871","2,58,652","2,11,001"
