,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,70.54%,70.54%,70.54%,70.54%,70.54%,70.54%,70.54%,70.54%,70.54%,70.54%,70.54%,70.54%
FIIs +,3.56%,3.62%,3.73%,3.70%,3.88%,3.56%,3.68%,4.10%,5.96%,6.19%,6.14%,6.09%
DIIs +,16.48%,16.33%,16.52%,16.78%,16.70%,17.04%,17.28%,17.19%,15.80%,15.78%,15.87%,16.00%
Public +,9.42%,9.51%,9.22%,8.99%,8.89%,8.86%,8.50%,8.15%,7.71%,7.50%,7.45%,7.36%
No. of Shareholders,"95,273","91,023","85,222","79,456","77,156","76,127","65,214","65,376","65,580","65,133","65,532","68,418"
