,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%,74.80%
FIIs +,17.55%,17.44%,17.25%,16.32%,14.08%,13.94%,13.06%,13.13%,12.96%,13.07%,13.06%,13.22%
DIIs +,5.60%,5.82%,6.09%,6.14%,6.15%,6.15%,6.14%,6.12%,6.15%,6.13%,6.27%,6.23%
Public +,2.05%,1.94%,1.85%,2.75%,4.97%,5.11%,5.98%,5.93%,6.08%,5.99%,5.85%,5.74%
No. of Shareholders,"1,37,841","1,42,697","1,36,022","3,01,530","4,82,919","4,94,186","6,53,417","6,31,022","6,55,643","6,25,899","6,43,039","6,41,091"
