,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,26,23,27,44,30,27,42,51,28,36,48,35
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,26,23,27,44,30,27,42,51,28,36,48,35
Working Capital Days,"-1,002",-772,-660,"-1,181",-791,-605,-894,-792,"-1,148",-846,"-1,090",-279
ROCE %,10%,10%,10%,10%,25%,8%,5%,8%,15%,12%,20%,44%
