,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"212,098","168,799","217,092","197,714","201,231","190,163","203,033","214,054","238,968","211,952","231,132","203,751","243,134"
Expenses +,"213,222","168,360","202,366","194,094","189,692","180,169","194,558","204,815","238,717","202,180","224,544","192,356","223,079"
Operating Profit,"-1,124",439,"14,727","3,620","11,539","9,994","8,475","9,239",252,"9,773","6,588","11,395","20,056"
OPM %,-1%,0%,7%,2%,6%,5%,4%,4%,0%,5%,3%,6%,8%
Other Income +,"3,503",992,"6,046",270,612,117,288,206,"14,249","1,001",794,818,954
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"2,379","1,431","20,772","3,891","12,151","10,111","8,763","9,445","14,500","10,774","7,382","12,213","21,010"
Tax %,-1%,103%,26%,-63%,8%,14%,13%,15%,14%,15%,16%,14%,16%
Net Profit +,"2,409",608,"15,858","7,306","13,189","9,634","8,032","9,434","13,784","10,527","7,723","11,009","19,021"
EPS in Rs,3.81,0.95,25.07,11.56,20.86,15.23,12.70,14.97,21.79,16.67,12.22,17.40,30.10
Raw PDF,,,,,,,,,,,,,
