,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,82,108,104,160,94,97,46,66,66
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,82,108,104,160,94,97,46,66,66
Working Capital Days,55,88,181,198,72,115,35,46,43
ROCE %,,12%,9%,9%,10%,11%,17%,16%,15%
