,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,85.61%,85.61%,85.61%,85.61%,85.61%,85.61%,85.61%
FIIs +,3.64%,2.43%,2.34%,4.15%,4.20%,4.07%,4.75%
DIIs +,4.13%,4.08%,3.59%,2.74%,2.50%,2.73%,2.69%
Public +,3.43%,5.20%,6.14%,5.79%,6.32%,6.30%,5.67%
Others +,3.18%,2.69%,2.31%,1.70%,1.36%,1.29%,1.26%
No. of Shareholders,"2,06,920","3,00,229","3,74,721","3,90,005","4,25,549","4,38,570","4,38,044"
