,Mar 2008,Mar 2009,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,279,233,589,696,748,632,553,601,789,712,820,"1,285"
Cash from Investing Activity +,-209,11,-146,-215,-483,-134,15,-202,25,-574,87,-248
Cash from Financing Activity +,-101,-223,-444,-471,-226,-470,-525,-412,-873,-82,-687,"-1,134"
Net Cash Flow,-31,21,-1,10,39,28,43,-14,-60,56,219,-97
