,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,93.08%,93.08%,93.08%,93.08%,93.08%,93.08%,93.08%,93.08%,93.08%,93.08%,93.08%,89.27%
FIIs +,0.09%,0.10%,0.19%,0.19%,0.15%,0.16%,0.07%,0.17%,0.16%,0.33%,0.44%,1.27%
DIIs +,2.81%,2.84%,2.88%,2.86%,2.83%,2.84%,2.79%,2.80%,2.81%,2.81%,2.82%,5.87%
Public +,4.02%,3.98%,3.84%,3.85%,3.95%,3.91%,4.04%,3.95%,3.95%,3.75%,3.65%,3.59%
No. of Shareholders,"3,70,074","3,76,992","4,15,868","4,15,792","4,34,384","5,03,897","5,29,591","6,43,550","6,85,394","6,67,435","6,71,006","6,79,105"
