,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,91,91,91,92,97,97,102,102,101,100,100,101
Reserves,"22,519","20,951","32,345","29,959","30,288","31,988","32,035","31,713","35,524","38,606","44,216","47,084"
Borrowings +,"36,368","45,501","46,797","45,850","42,962","39,559","36,824","29,910","13,502","13,046","16,472","18,406"
Other Liabilities +,"9,935","8,994","13,166","14,674","15,884","17,357","20,780","16,116","27,517","17,674","17,888","20,248"
Total Liabilities,"68,913","75,537","92,398","90,575","89,230","89,001","89,742","77,840","76,644","69,427","78,676","85,839"
Fixed Assets +,"34,989","46,643","65,038","65,932","68,450","69,039","69,381","54,349","45,488","43,542","48,384","50,196"
CWIP,"17,811","9,073","11,827","9,716","4,978","4,027","3,126","1,712","2,538","7,870","9,611","15,518"
Investments,342,"1,785",392,368,146,150,181,"1,156",470,907,819,"2,201"
Other Assets +,"15,771","18,035","15,142","14,559","15,657","15,784","17,055","20,624","28,147","17,108","19,862","17,925"
Total Assets,"68,913","75,537","92,398","90,575","89,230","89,001","89,742","77,840","76,644","69,427","78,676","85,839"
