,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,461,475,543,597,733,753,"1,030","1,647","1,814","1,814","1,814","1,814"
Reserves,"29,715","32,017","31,867","34,088","36,164","36,936","40,176","60,763","68,147","76,240","90,319","103,603"
Deposits,"431,880","485,802","479,749","495,266","524,847","599,123","625,408","1,010,985","1,086,341","1,179,086","1,312,242","1,456,495"
Borrowing,"16,034","13,686","26,963","39,592","38,910","41,043","42,762","50,013","46,285","58,073","57,538","89,665"
Other Liabilities +,"23,000","26,578","24,603","26,615","30,781","33,928","32,064","56,132","56,202","65,816","73,104","79,114"
Total Liabilities,"501,090","558,558","563,725","596,159","631,435","711,783","741,440","1,179,540","1,258,789","1,381,030","1,535,018","1,730,691"
Fixed Assets +,"6,661","6,969","7,206","7,185","8,335","8,433","8,323","11,269","11,447","10,334","12,331","10,302"
CWIP,1,1,0,0,0,0,0,2,2,0,0,0
Investments,"135,445","152,122","152,470","162,073","157,444","168,678","192,645","286,191","311,347","352,893","399,207","426,188"
Other Assets +,"358,982","399,466","404,049","426,901","465,657","534,672","540,472","882,077","935,992","1,017,803","1,123,480","1,294,201"
Total Assets,"501,090","558,558","563,725","596,159","631,435","711,783","741,440","1,179,540","1,258,789","1,381,030","1,535,018","1,730,691"
