,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,28,649,"1,625","1,965","1,601","3,127","7,265","7,713","8,364"
Cash from Investing Activity +,"-1,511","-4,428","-2,666","-3,743","-9,137","-18,730","-3,857","-21,060","-19,827"
Cash from Financing Activity +,"1,559","3,942","1,045","2,161","7,083","15,986","-2,973","13,953","12,068"
Net Cash Flow,76,162,3,383,-453,383,435,606,605
